page,price,location,alapterulet,szobak,erkely
11,270 000 Ft/hó,"Budapest IX. kerület, Tűzoltó utca",50 m2,2,2 m2
11,280 000 Ft/hó,"Budapest XI. kerület, Neszmélyi út",55 m2,3,5 m2
11,260 000 Ft/hó,"Budapest XIII. kerület, Hollán Ernő utca",42 m2,1 + 2 fél,
11,260 000 Ft/hó,"Budapest XI. kerület, Regős utca",54 m2,2,4 m2
11,430 000 Ft/hó,"Budapest XI. kerület, Irinyi József utca",88 m2,2 + 1 fél,3 m2
11,270 000 Ft/hó,"Budapest VIII. kerület, II. János Pál pápa tér 6.",51 m2,1 + 1 fél,
11,280 000 Ft/hó,"Budapest VI. kerület, Vasvári Pál utca",61 m2,2 + 1 fél,
11,280 000 Ft/hó,"Budapest XIII. kerület, Csavargyár utca",38 m2,1 + 1 fél,8 m2
11,350 000 Ft/hó,"Budapest VII. kerület, Kertész utca",96 m2,3,
11,270 000 Ft/hó,"Budapest VIII. kerület, Tömő utca",45 m2,1 + 1 fél,7 m2
11,285 000 Ft/hó,"Budapest XIII. kerület, Katona József utca",65 m2,3,3 m2
11,400 000 Ft/hó,"Budapest VII. kerület, Marek József utca",62 m2,4,10 m2
11,698 000 Ft/hó,"Budapest XIV. kerület, Törökőr",110 m2,4,9 m2
11,250 000 Ft/hó,"Budapest XX. kerület, Előd utca",59 m2,1 + 1 fél,8 m2
11,665 000 Ft/hó,"Budapest IX. kerület, Tinódi utca",110 m2,2,10 m2
12,295 000 Ft/hó,"Budapest XIII. kerület, Katona József utca 20.",68 m2,2 + 1 fél,2 m2
12,550 000 Ft/hó,"Budapest XIV. kerület, Szugló utca",103 m2,4,20 m2
12,230 000 Ft/hó,"Budapest XIV. kerület, Kacsóh Pongrác út",43 m2,2,
12,399 000 Ft/hó,"Budapest XIV. kerület, Ilka utca",85 m2,3,
12,215 000 Ft/hó,"Budapest XIV. kerület, Abonyi utca",54 m2,2,
12,265 000 Ft/hó,"Budapest VII. kerület, Alsó erdősor",50 m2,2,2 m2
12,280 000 Ft/hó,"Budapest IX. kerület, Bárd utca 7.",45 m2,2,4 m2
12,300 000 Ft/hó,"Budapest IX. kerület, Középső-Ferencváros - Rehabilitációs terület",44 m2,2,10 m2
12,259 900 Ft/hó,"Budapest IX. kerület, Belső-Ferencváros",50 m2,1 + 1 fél,2 m2
12,300 000 Ft/hó,"Budapest VIII. kerület, Üllői út",90 m2,3,
12,205 000 Ft/hó,"Budapest IX. kerület, Bárd utca 2.",28 m2,1,
12,260 000 Ft/hó,"Budapest VII. kerület, Csengery utca",45 m2,1 + 1 fél,
12,230 000 Ft/hó,"Budapest IX. kerület, Berzenczey utca 33.",35 m2,1,
12,499 000 Ft/hó,"Budapest XI. kerület, Hauszmann Alajos utca 18.",73 m2,3,11 m2
12,300 000 Ft/hó,"Budapest XI. kerület, Lágymányos",47 m2,1 + 1 fél,3 m2
12,558 278 Ft/hó,"Budapest I. kerület, Országház utca",60 m2,2,3 m2
12,280 000 Ft/hó,"Budapest XV. kerület, Kőrakás park",64 m2,2 + 1 fél,3 m2
12,360 000 Ft/hó,"Budapest XI. kerület, Vahot utca",51 m2,2,
12,385 000 Ft/hó,"Budapest XI. kerület, Barázda utca",62 m2,2,5.87 m2
12,250 000 Ft/hó,"Budapest VII. kerület, Murányi utca",41 m2,1 + 1 fél,
13,320 000 Ft/hó,"Budapest XI. kerület, Kanizsai utca",56 m2,2,12 m2
13,230 000 Ft/hó,"Budapest IV. kerület, Szent László tér",36 m2,1 + 1 fél,
13,310 000 Ft/hó,"Budapest XIII. kerület, Lőportár utca",36 m2,2,4 m2
13,700 000 Ft/hó,"Budapest XI. kerület, Mohai út",82 m2,3 + 1 fél,20 m2
13,250 000 Ft/hó,"Budapest III. kerület, Bálint György utca",57 m2,1 + 2 fél,1 m2
13,230 000 Ft/hó,"Budapest XVI. kerület, Hunyadvár utca",44 m2,1 + 1 fél,
13,250 000 Ft/hó,"Budapest VII. kerület, Cserhát utca",43 m2,1 + 1 fél,
13,599 000 Ft/hó,"Budapest XI. kerület, Bíró László József körút",76 m2,3,40 m2
13,220 000 Ft/hó,"Budapest VI. kerület, Ó utca",35 m2,1 + 1 fél,
13,290 000 Ft/hó,"Budapest XI. kerület, Sztregova utca",50 m2,2,5 m2
13,260 000 Ft/hó,"Budapest IX. kerület, Vágóhíd utca",35 m2,1 + 1 fél,4 m2
13,270 000 Ft/hó,"Budapest VIII. kerület, Győrffy István utca",70 m2,2 + 1 fél,8 m2
13,310 000 Ft/hó,"Budapest XII. kerület, Szendrő utca",66 m2,2 + 1 fél,5 m2
13,1 160 000 Ft/hó,"Budapest VI. kerület, Hajós utca",176 m2,5,1 m2
13,230 000 Ft/hó,"Budapest XIV. kerület, Egyenes utca",40 m2,1 + 1 fél,
13,330 000 Ft/hó,"Budapest XIII. kerület, Úszódaru utca",51 m2,2,15 m2
13,220 000 Ft/hó,"Budapest IX. kerület, Márton utca",29 m2,1,3 m2
13,220 000 Ft/hó,"Budapest XIII. kerület, Kresz Géza utca",37 m2,2,
13,220 000 Ft/hó,"Budapest VI. kerület, Bajnok utca",68 m2,2 + 1 fél,2 m2
13,800 000 Ft/hó,"Budapest VI. kerület, Benczúr utca",137 m2,4,25 m2
14,375 000 Ft/hó,"Budapest XIII. kerület, Lőportár utca 20.",71 m2,3,16 m2
14,290 000 Ft/hó,"Budapest XIII. kerület, Ipoly utca",45 m2,2,18 m2
14,220 000 Ft/hó,"Budapest III. kerület, Zápor utca",53 m2,1 + 2 fél,
14,230 000 Ft/hó,"Budapest IX. kerület, Sobieski János utca",32 m2,1,3 m2
14,380 000 Ft/hó,"Budapest XI. kerület, Naprózsa utca",65 m2,3,55 m2
14,200 000 Ft/hó,"Budapest VII. kerület, Izabella utca",49 m2,1,
14,260 000 Ft/hó,"Budapest XIII. kerület, Szabolcs utca",35 m2,1,7 m2
14,260 000 Ft/hó,"Budapest VIII. kerület, Bródy Sándor utca",70 m2,4,
14,550 000 Ft/hó,"Budapest II. kerület, Gábor Áron utca",72 m2,3,12 m2
14,187 422 Ft/hó,"Budapest IX. kerület, Lónyay utca",26 m2,1,
14,210 000 Ft/hó,"Budapest I. kerület, Avar utca",39 m2,1 + 1 fél,
14,200 000 Ft/hó,"Budapest VII. kerület, Rózsa utca",25 m2,1,
14,383 000 Ft/hó,"Budapest XIII. kerület, Röppentyű utca",66 m2,3,7 m2
14,310 000 Ft/hó,"Budapest VII. kerület, Dob utca 20.",58 m2,2,
14,450 000 Ft/hó,"Budapest XIV. kerület, Kiszugló",65 m2,3,21.45 m2
14,360 000 Ft/hó,"Budapest XIV. kerület, Kiszugló",54 m2,2,8.63 m2
14,250 000 Ft/hó,"Budapest XIII. kerület, Kresz Géza utca",44 m2,1,
14,1 000 000 Ft/hó,"Budapest V. kerület, Falk Miksa utca",111 m2,4,
14,440 000 Ft/hó,"Budapest III. kerület, Flóra utca 13.",101 m2,3,20 m2
14,280 000 Ft/hó,"Budapest VI. kerület, Vasvári Pál utca 7.",65 m2,3,1 m2
15,598 155 Ft/hó,"Budapest II. kerület, Honfoglalás utca 40.",189 m2,6,25 m2
15,210 000 Ft/hó,"Budapest II. kerület, Árpád fejedelem útja",39 m2,1,
15,330 000 Ft/hó,"Budapest VIII. kerület, Nagy Templom utca 34/B",44 m2,2,8.72 m2
15,440 000 Ft/hó,"Budapest V. kerület, Aranykéz utca 6.",40 m2,1,
15,190 000 Ft/hó,"Budapest XIV. kerület, Gvadányi utca",28 m2,1,
15,385 000 Ft/hó,"Budapest XIV. kerület, Rákos tér",91 m2,3,
15,200 000 Ft/hó,"Budapest II. kerület, Budakeszi út",45 m2,1 + 1 fél,9 m2
15,395 000 Ft/hó,"Budapest II. kerület, Törökvész",53 m2,2,28 m2
15,450 000 Ft/hó,"Budapest I. kerület, Lovas út",56 m2,2,4 m2
15,215 000 Ft/hó,"Budapest VI. kerület, Hajós utca",45 m2,1,
15,210 000 Ft/hó,"Budapest VIII. kerület, Dugonics utca 6.",50 m2,2,2 m2
15,240 000 Ft/hó,"Budapest VIII. kerület, Futó utca",50 m2,2,4 m2
15,518 401 Ft/hó,"Budapest XIII. kerület, Ipoly utca",91 m2,4,
15,290 000 Ft/hó,"Budapest VI. kerület, Nagymező utca 8.",58 m2,3,
15,600 000 Ft/hó,"Budapest XIII. kerület, Röppentyű utca",92 m2,3,102 m2
15,300 000 Ft/hó,"Budapest VI. kerület, Nagymező utca 49.",71 m2,3,
15,250 000 Ft/hó,"Budapest IX. kerület, Thaly Kálmán utca",49 m2,2,3 m2
15,260 000 Ft/hó,"Budapest XI. kerület, Kalotaszeg utca",50 m2,2,8 m2
15,220 000 Ft/hó,"Budapest XIV. kerület, Öv utca 133.",37 m2,2,8 m2
15,240 000 Ft/hó,"Budapest IX. kerület, Dandár utca",48 m2,2,5 m2
